SessionKey,DriverNo,LapNo,LapTime,NoPits,PitIn,PitOut,PitStopDuration,Compound,TyreAge,Sector1_Time,Sector2_Time,Sector3_Time,LapStartTime,LapStartDate,Speed_I1,Speed_I2,Speed_FL,Speed_ST,TrackStatus,IsDeleted,DeletionMessage,Driver
9574.0,10,40.0,0 days 00:01:48.507000,2.0,,,,HARD,11.0,0 days 00:00:30.884000,0 days 00:00:48.636000,0 days 00:00:28.987000,0 days 02:07:16.242000,2024-07-28 14:15:54.220,332,204,223,319,1,False,,[10] GAS - Alpine
9574.0,10,41.0,0 days 00:01:47.598000,2.0,,,,HARD,12.0,0 days 00:00:30.515000,0 days 00:00:48.084000,0 days 00:00:28.999000,0 days 02:09:04.743000,2024-07-28 14:17:42.721,339,201,223,324,1,False,,[10] GAS - Alpine
9574.0,10,42.0,0 days 00:01:48.398000,2.0,,,,HARD,13.0,0 days 00:00:31.257000,0 days 00:00:48.131000,0 days 00:00:29.010000,0 days 02:10:52.325000,2024-07-28 14:19:30.303,311,205,220,315,1,False,,[10] GAS - Alpine
9574.0,10,43.0,0 days 00:01:47.977000,2.0,,,,HARD,14.0,0 days 00:00:30.990000,0 days 00:00:48.034000,0 days 00:00:28.953000,0 days 02:12:40.703000,2024-07-28 14:21:18.681,316,205,221,316,1,False,,[10] GAS - Alpine
9574.0,10,44.0,0 days 00:01:47.896000,2.0,,,,HARD,15.0,0 days 00:00:30.737000,0 days 00:00:48.294000,0 days 00:00:28.865000,0 days 02:14:28.672000,2024-07-28 14:23:06.650,335,204,222,,1,False,,[10] GAS - Alpine
9574.0,11,1.0,,0.0,0 days 00:18:02.529000,,,,,,0 days 00:00:50.038000,0 days 00:00:29.491000,0 days 00:55:14.763000,2024-07-28 13:03:52.741,316,201,,310,1,False,,[11] PER - Red Bull Racing
9574.0,11,2.0,0 days 00:01:50.240000,0.0,,,,MEDIUM,1.0,0 days 00:00:31.365000,0 days 00:00:49.207000,0 days 00:00:29.668000,0 days 00:57:08.631000,2024-07-28 13:05:46.609,325,202,216,308,1,False,,[11] PER - Red Bull Racing
9574.0,11,3.0,0 days 00:01:49.983000,0.0,,,,MEDIUM,2.0,0 days 00:00:31.470000,0 days 00:00:48.913000,0 days 00:00:29.600000,0 days 00:58:58.871000,2024-07-28 13:07:36.849,314,201,217,309,1,False,,[11] PER - Red Bull Racing
9574.0,11,4.0,0 days 00:01:49.790000,0.0,,,,MEDIUM,3.0,0 days 00:00:31.356000,0 days 00:00:49.032000,0 days 00:00:29.402000,0 days 01:00:48.789000,2024-07-28 13:09:26.767,320,199,218,,1,False,,[11] PER - Red Bull Racing
9574.0,11,5.0,0 days 00:01:49.896000,0.0,,,,MEDIUM,4.0,0 days 00:00:31.447000,0 days 00:00:48.958000,0 days 00:00:29.491000,0 days 01:02:38.692000,2024-07-28 13:11:16.670,319,197,218,311,1,False,,[11] PER - Red Bull Racing
