season,session,round,position,number,driver,team,col_5,col_6,col_7,col_8
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",21C. LeclercLECPREMA Racing,31,59:51.032,22.944,0.015,172.488,1:51.437,25
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",35L. GhiottoGHIRUSSIAN TIME,31,1:00:00.205,32.117,9.173,172.049,1:53.485,29
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",43N. de VriesDEVRacing Engineering,31,1:00:01.948,33.860,1.743,171.965,1:52.037,25
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",510N. LatifiLATDAMS,31,1:00:04.464,36.376,2.516,171.845,1:53.394,27
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",67N. MatsushitaMATART Grand Prix,31,1:00:06.741,38.653,2.277,171.737,1:53.123,11
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",78A. AlbonALBART Grand Prix,31,1:00:09.385,41.297,2.644,171.611,1:50.314,27
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",815J. KingKINMP Motorsport,31,1:00:15.406,47.318,6.021,171.325,1:54.218,26
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",914S. Sette CâmaraSETMP Motorsport,31,1:00:18.072,49.984,2.666,171.199,1:50.880,26
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",1018L. DelétrazDELRapax,31,1:00:27.123,59.035,9.051,170.772,1:51.674,27
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",114G. MaljaMALRacing Engineering,31,1:00:35.965,67.877,8.842,170.357,1:51.282,26
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",1212Á. PalouPALCampos Racing,31,1:00:39.363,71.275,3.398,170.197,1:54.400,12
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",1320N. NatoNATPertamina Arden,31,1:00:46.976,78.888,7.613,169.842,1:54.283,28
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",1417S. FerrucciFERTrident,31,1:00:56.263,88.175,9.287,169.411,1:54.845,12
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",1521S. GelaelGELPertamina Arden,31,1:00:58.562,90.474,2.299,169.304,1:54.699,27
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",1619R. MerhiMERRapax,30,1:00:36.523,1 LAP,1 LAP,164.832,1:53.667,19
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",DQ9O. RowlandROWDAMS,31,59:28.088,DSQ,-,173.597,1:52.464,9
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",DQ2A. FuocoFUOPREMA Racing,31,59:51.017,22.929,16.250,172.489,1:52.705,31
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",DNF11L. NorrisNORCampos Racing,5,9:57.311,DNF,-,166.676,1:56.652,3
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",DNF16N. JeffriJEFTrident,-,-,DNF,-,-,-,-
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",16A. MarkelovMARRUSSIAN TIME,10,1:47.181,-,-,186.547,19:27:37,
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",23N. de VriesDEVRacing Engineering,10,1:47.387,0.206,-,186.190,19:28:46,
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",32A. FuocoFUOPREMA Racing,11,1:47.575,0.394,0.188,185.864,19:27:51,
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",49O. RowlandROWDAMS,9,1:47.617,0.436,0.042,185.792,19:29:05,
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",520N. NatoNATPertamina Arden,10,1:47.676,0.495,0.059,185.690,19:29:08,
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",61C. LeclercLECPREMA Racing,10,1:47.692,0.511,0.016,185.662,19:28:24,
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",75L. GhiottoGHIRUSSIAN TIME,9,1:47.753,0.572,0.061,185.557,19:29:16,
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",87N. MatsushitaMATART Grand Prix,8,1:47.759,0.578,0.006,185.547,19:28:06,
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",914S. Sette CâmaraSETMP Motorsport,10,1:47.824,0.643,0.065,185.435,19:28:04,
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",1012Á. PalouPALCampos Racing,10,1:48.127,0.946,0.170,184.915,19:28:28,
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",1110N. LatifiLATDAMS,9,1:48.201,1.020,0.074,184.789,19:30:21,
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",1218L. DelétrazDELRapax,10,1:48.212,1.031,0.011,184.770,19:27:48,
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",1311L. NorrisNORCampos Racing,10,1:48.404,1.223,0.192,184.443,19:28:15,
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",1415J. KingKINMP Motorsport,10,1:48.476,1.295,0.072,184.320,19:27:58,
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",1517S. FerrucciFERTrident,10,1:48.538,1.357,0.062,184.215,19:27:54,
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",1621S. GelaelGELPertamina Arden,11,1:48.609,1.428,0.071,184.095,19:27:42,
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",174G. MaljaMALRacing Engineering,10,1:48.671,1.490,0.062,183.990,19:29:25,
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",1819R. MerhiMERRapax,12,1:48.794,1.613,0.123,183.782,19:27:46,
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",1916N. JeffriJEFTrident,11,1:50.201,3.020,1.407,181.435,19:29:22,
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",DQ8A. AlbonALBART Grand Prix,5,1:47.957,0.776,0.133,185.207,19:19:28,
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",18A. AlbonALBART Grand Prix,16,1:48.974,-,-,183.478,11:53:12,
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",220N. NatoNATPertamina Arden,17,1:49.109,0.135,-,183.251,11:45:57,
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",33N. de VriesDEVRacing Engineering,18,1:49.211,0.237,0.102,183.080,11:41:35,
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",47N. MatsushitaMATART Grand Prix,17,1:49.243,0.269,0.032,183.026,11:53:03,
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",52A. FuocoFUOPREMA Racing,19,1:49.285,0.311,0.042,182.956,11:45:01,
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",69O. RowlandROWDAMS,17,1:49.342,0.368,0.057,182.861,11:46:03,
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",76A. MarkelovMARRUSSIAN TIME,19,1:49.403,0.429,0.061,182.759,12:02:48,
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",814S. Sette CâmaraSETMP Motorsport,17,1:49.560,0.586,0.157,182.497,11:59:39,
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",91C. LeclercLECPREMA Racing,19,1:49.651,0.677,0.091,182.345,12:02:50,
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",104G. MaljaMALRacing Engineering,17,1:49.874,0.900,0.223,181.975,12:02:39,
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",1118L. DelétrazDELRapax,18,1:49.892,0.918,0.018,181.945,12:05:23,
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",1212Á. PalouPALCampos Racing,18,1:50.025,1.051,0.133,181.725,11:40:40,
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",135L. GhiottoGHIRUSSIAN TIME,17,1:50.121,1.147,0.096,181.567,11:54:38,
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",1419R. MerhiMERRapax,18,1:50.169,1.195,0.048,181.488,12:04:15,
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",1510N. LatifiLATDAMS,17,1:50.192,1.218,0.023,181.450,11:44:02,
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",1615J. KingKINMP Motorsport,21,1:50.378,1.404,0.186,181.144,11:40:31,
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",1717S. FerrucciFERTrident,20,1:50.436,1.462,0.058,181.049,11:41:43,
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",1821S. GelaelGELPertamina Arden,17,1:50.579,1.605,0.143,180.815,11:46:08,
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",1911L. NorrisNORCampos Racing,17,1:51.030,2.056,0.451,180.081,11:40:39,
2017,race,"ROUND 11

24
-
26
November

Yas Island
Results",2016N. JeffriJEFTrident,17,1:51.926,2.952,0.896,178.639,11:57:19,
2017,race,"ROUND 2

12
-
14
May

Barcelona
Results","1
7
N. Matsushita
ART Grand Prix",26,42:20.450,-,-,171.329,1:35.246,11
2017,race,"ROUND 2

12
-
14
May

Barcelona
Results","2
9
O. Rowland
DAMS",26,42:23.759,3.309,-,171.106,1:35.178,9
2017,race,"ROUND 2

12
-
14
May

Barcelona
Results","3
10
N. Latifi
DAMS",26,42:25.071,4.621,1.312,171.018,1:34.811,3
2017,race,"ROUND 2

12
-
14
May

Barcelona
Results","4
1
C. Leclerc
PREMA Racing",26,42:29.627,9.177,4.556,170.712,1:35.136,12
2017,race,"ROUND 2

12
-
14
May

Barcelona
Results","5
15
J. King
MP Motorsport",26,42:35.783,15.333,6.156,170.301,1:35.534,4
2017,race,"ROUND 2

12
-
14
May

Barcelona
Results","6
4
G. Malja
Racing Engineering",26,42:38.437,17.987,2.654,170.125,1:35.246,3
2017,race,"ROUND 2

12
-
14
May

Barcelona
Results","7
5
L. Ghiotto
RUSSIAN TIME",26,42:38.542,18.092,0.105,170.118,1:35.492,9
2017,race,"ROUND 2

12
-
14
May

Barcelona
Results","8
8
A. Albon
ART Grand Prix",26,42:41.585,21.135,3.043,169.915,1:35.096,11
2017,race,"ROUND 2

12
-
14
May

Barcelona
Results","9
6
A. Markelov
RUSSIAN TIME",26,42:42.002,21.552,0.417,169.888,1:35.400,10
