year	round	driverId	driverIdNorm	first_lap_position
2011	16	kovalainen	kovalainen	16
2011	16	buemi	buemi	17
2011	16	perez	perez	18
2011	16	bruno_senna	bruno-senna	19
2011	16	glock	glock	20
2011	16	ricciardo	ricciardo	21
2011	16	trulli	trulli	22
2011	16	ambrosio	ambrosio	23
2011	16	liuzzi	liuzzi	24
2011	17	vettel	vettel	1
2011	17	button	button	2
2011	17	webber	webber	3
2011	17	alonso	alonso	4
2011	17	massa	massa	5
2011	17	hamilton	hamilton	6
2011	17	rosberg	rosberg	7
2011	17	michael_schumacher	michael-schumacher	8
2011	17	sutil	sutil	9
2011	17	bruno_senna	bruno-senna	10
2011	17	alguersuari	alguersuari	11
2011	17	buemi	buemi	12
2011	17	resta	resta	13
2011	17	maldonado	maldonado	14
2011	17	petrov	petrov	15
2011	17	kovalainen	kovalainen	16
2011	17	karthikeyan	karthikeyan	17
2011	17	ricciardo	ricciardo	18
2011	17	ambrosio	ambrosio	19
2011	17	perez	perez	20
2011	17	glock	glock	21
2011	17	barrichello	barrichello	22
2011	17	trulli	trulli	23
2011	18	hamilton	hamilton	1
2011	18	alonso	alonso	2
2011	18	button	button	3
2011	18	webber	webber	4
2011	18	massa	massa	5
2011	18	rosberg	rosberg	6
2011	18	michael_schumacher	michael-schumacher	7
2011	18	sutil	sutil	8
2011	18	perez	perez	9
2011	18	resta	resta	10
2011	18	kobayashi	kobayashi	11
2011	18	buemi	buemi	12
2011	18	petrov	petrov	13
2011	18	alguersuari	alguersuari	14
2011	18	kovalainen	kovalainen	15
2011	18	glock	glock	16
